Sl no,City ID,City,Languages with split (social media),Population (total) Dynamic for Census,Population (below 35yrs),Internet penetration,Time zones (2 for Europe),Country,Continent,Area( km^2),Latitude and longitude,Internet Search tool,Source ,
60,308,Antwerp,"Dutch, English","498,473",,,GMT+1,Belgium,Europe,,"51.2194° N, 4.4025° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
61,309,Aarhus,"Danish,  English","336,411",,,GMT+1,Denmark,Europe,,"56.1629° N, 10.2039° E
",,https://en.wikipedia.org/wiki/List_of_time_zones_by_country,
62,310,Budapest,Hungarian,1.756 million,,,GMT+1,Hungry,Europe,,"47.4979° N, 19.0402° E",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
63,311,Florence,"Italic
Romance
Italo-Dalmatian
Tuscan dialect","708,000",,,GMT+1,Italy,Europe,"43.7696° N, 11.2558° E",,,"en.wikipedia.org, https://www.macrotrends.net/cities/21562/florence/population , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
64,312,Rome,"Italian, english","4,257,000",,,GMT+1,Italy,Europe,"41.9028° N, 12.4964° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
65,313,Istanbul,Turkish,"15,190,336",,,GMT+7,Turkey,Europe,"41.0082° N, 28.9784° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
66,314,Lisbon,Portuguese,"2,956,879",,,GMT,Portugal,Europe,"38.7223° N, 9.1393° W",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
67,315,Seville,spanish,"703,790",,,GMT+1,spain,Europe,"37.3891° N, 5.9845° W",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
68,316,Barcelona,"catalan, Castilian Spanish.","5,586,000",,,GMT+1,spain,Europe,"41.3851° N, 2.1734° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
69,317,Madrid,Castilian Spanish,"6,618,000",,,GMT+1,spain,Europe,"40.4168° N, 3.7038° W",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country",
70,318,Granada,spanish,112523,,,GMT+1,spain,Europe,"37.1773° N, 3.5986° W",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
71,319,Prague,Czech,"10,694,364",,,GMT+1,Czech Republic,Europe,"50.0755° N, 14.4378° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
72,320,Venice,"Venetian, Italian Language","637,000",,,GMT+1,Italy,Europe,"45.4408° N, 12.3155° E",,,""" "" ,  https://populationstat.com/italy/venice , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
73,321,Ravenna,"Italian, Romagnol","389,634",,,GMT+1,Italy,Europe,"44.4184° N, 12.2035° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country",
74,322,krakow,"Polish, German and French","768,731",,,GMT+1,Poland,Europe,"50.0647° N, 19.9450° E",,,""" "" , https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
75,323,valencia,"Valencian, Spanish","834,000",,,GMT+1,spain,Europe,"39.4699° N, 0.3763° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
76,324,Milan,"Italian, Milanese","3,140,000",,,GMT+1,Italy,Europe,"45.4642° N, 9.1900° E",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
77,325,Naples,napulitano(romance language),"2,187,000",,,GMT+1,Italy,Europe,"40.8518° N, 14.2681° E",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",106
78,401,New York,"English, Spanish, Chinese",8.399 million ,,,GMT-4,North America,USA,"40.7128° N, 74.0060° W","40.7128° N, 74.0060° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
79,402,Chicago,"English, Spanish, Polish, 
, Tagalog",2.706 million,,,GMT-5,North America,USA,"41.8781° N, 87.6298° W","41.8781° N, 87.6298° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
80,403,Atlanta,"English, Spanish, Korean, 
Chinese","498,044",,,GMT-4,North America,USA,"33.7490° N, 84.3880° W","33.7490° N, 84.3880° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
81,404,California,"English, Spanish",39.51 million,,,GMT-7,North America,USA,"36.7783° N, 119.4179° W","36.7783° N, 119.4179° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
82,405,Washington,"English, French,
 African languages
Chinese, German",7.615 million,,,GMT-7,North America,USA,"47.7511° N, 120.7401° W","47.7511° N, 120.7401° W",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
83,406,Mexico City,"Spanish Language, 
Nahuatl, 
Mixtec, 
Yucatec Maya language, 
Zapotec languages
English
",126.2 million,,,GMT-6,North America,USA,"23.6345° N, 102.5528° W","19.4326° N, 99.1332° W
",,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
84,407,Guayaquil,"Spanish, Quechua, Kichwa, Shuar","2,994,000",,,GMT-5,South America,USA,"2.1894° S, 79.8891° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
85,408,San Francisco,"English, Chinese (Incl. Mandarin, Cantonese), Spanish, Tagalog","3,314,000",,,GMT-8,California,USA,"37.7749° N, 122.4194° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
86,409,Denver,"Navajo and Swedish, Hindi, Amharic","2,827,000",,,GMT-7,Colorado,USA,"39.7392° N, 104.9903° W",,,"https://en.wikipedia.org/wiki/List_of_time_zones_by_country , https://www.infoplease.com/world/countries/languages-spoken-in-each-country-of-the-world",
